,code,tradeStatus,code_name
687,sh.600572,1,康恩贝
688,sh.600573,1,惠泉啤酒
689,sh.600575,1,淮河能源
690,sh.600576,1,祥源文化
691,sh.600577,1,精达股份
692,sh.600578,1,京能电力
693,sh.600579,1,克劳斯
694,sh.600580,1,卧龙电驱
695,sh.600581,1,八一钢铁
696,sh.600582,1,天地科技
697,sh.600583,1,海油工程
698,sh.600584,1,长电科技
699,sh.600585,1,海螺水泥
700,sh.600586,1,金晶科技
701,sh.600587,1,新华医疗
702,sh.600588,1,用友网络
703,sh.600589,1,广东榕泰
704,sh.600590,1,泰豪科技
705,sh.600592,1,龙溪股份
706,sh.600593,1,大连圣亚
707,sh.600594,1,益佰制药
708,sh.600595,1,*ST中孚
709,sh.600596,1,新安股份
710,sh.600597,1,光明乳业
711,sh.600598,1,北大荒
712,sh.600599,1,熊猫金控
713,sh.600600,1,青岛啤酒
714,sh.600601,1,方正科技
715,sh.600602,1,云赛智联
716,sh.600603,1,广汇物流
717,sh.600604,1,市北高新
718,sh.600605,1,汇通能源
719,sh.600606,1,绿地控股
720,sh.600608,1,ST沪科
721,sh.600609,1,金杯汽车
722,sh.600610,1,*ST毅达
723,sh.600611,1,大众交通
724,sh.600612,1,老凤祥
725,sh.600613,1,神奇制药
726,sh.600614,1,*ST鹏起
727,sh.600615,1,丰华股份
728,sh.600616,1,金枫酒业
729,sh.600617,1,国新能源
730,sh.600618,1,氯碱化工
731,sh.600619,1,海立股份
732,sh.600620,1,天宸股份
733,sh.600621,1,华鑫股份
734,sh.600622,1,光大嘉宝
735,sh.600623,1,华谊集团
736,sh.600624,1,复旦复华
737,sh.600626,1,申达股份
738,sh.600628,1,新世界
739,sh.600629,1,华建集团
740,sh.600630,1,龙头股份
741,sh.600633,1,浙数文化
742,sh.600634,1,*ST富控
743,sh.600635,1,大众公用
744,sh.600636,1,三爱富
745,sh.600637,1,东方明珠
746,sh.600638,1,新黄浦
747,sh.600639,1,浦东金桥
748,sh.600640,1,号百控股
749,sh.600641,1,万业企业
750,sh.600642,1,申能股份
751,sh.600643,1,爱建集团
752,sh.600644,1,乐山电力
753,sh.600645,1,中源协和
754,sh.600647,1,同达创业
755,sh.600648,1,外高桥
756,sh.600649,1,城投控股
757,sh.600650,1,锦江投资
758,sh.600651,1,飞乐音响
759,sh.600652,1,*ST游久
760,sh.600653,1,申华控股
761,sh.600654,1,*ST中安
762,sh.600655,1,豫园股份
763,sh.600657,1,信达地产
764,sh.600658,1,电子城
765,sh.600660,1,福耀玻璃
766,sh.600661,1,昂立教育
767,sh.600662,1,强生控股
768,sh.600663,1,陆家嘴
769,sh.600664,1,哈药股份
770,sh.600665,1,天地源
771,sh.600666,1,*ST瑞德
772,sh.600667,1,太极实业
773,sh.600668,1,尖峰集团
774,sh.600671,1,天目药业
775,sh.600673,1,东阳光
776,sh.600674,1,川投能源
777,sh.600675,1,中华企业
778,sh.600676,1,交运股份
779,sh.600677,1,航天通信
780,sh.600678,1,四川金顶
781,sh.600679,1,上海凤凰
782,sh.600680,0,*ST上普
783,sh.600681,1,百川能源
784,sh.600682,1,南京新百
