,trade_date,ts_code,rzye,rqye,rzmre,rqyl,rzche,rqchl,rqmcl,rzrqye
668,20200729,300073.SZ,454460701.0,15868710.0,43487021.0,452100.0,65856637.0,23700.0,58700.0,470329411.0
669,20200729,300078.SZ,397175070.0,7105835.0,18789279.0,545763.0,26299064.0,5600.0,60700.0,404280905.0
670,20200729,300079.SZ,936342611.0,41634.0,36448927.0,8100.0,35079071.0,0.0,3100.0,936384245.0
671,20200729,300085.SZ,766274723.0,1331816.0,141147988.0,60100.0,105050982.0,0.0,5000.0,767606539.0
672,20200729,300088.SZ,2072976251.0,92700431.0,384712131.0,7744397.0,439683105.0,674500.0,543200.0,2165676682.0
673,20200729,300091.SZ,240910797.0,164547.0,40674955.0,42300.0,26907828.0,86600.0,36900.0,241075344.0
674,20200729,300098.SZ,520681608.0,10852073.0,29799613.0,1656805.0,21261077.0,38000.0,5100.0,531533681.0
675,20200729,300099.SZ,211757011.0,157290.0,32953171.0,24500.0,19677528.0,0.0,0.0,211914301.0
676,20200729,300101.SZ,390075263.0,3625285.0,110769307.0,242494.0,78900026.0,57400.0,25300.0,393700548.0
677,20200729,300110.SZ,180772228.0,0.0,14904093.0,0.0,9163356.0,0.0,0.0,180772228.0
678,20200729,300113.SZ,801056872.0,28180216.0,46699359.0,1114283.0,62310346.0,86600.0,34800.0,829237088.0
679,20200729,300115.SZ,751198040.0,29586568.0,71870253.0,1269265.0,73583654.0,232800.0,71900.0,780784608.0
680,20200729,300118.SZ,488982420.0,696762.0,108266927.0,37400.0,50756415.0,100.0,8400.0,489679182.0
681,20200729,300122.SZ,3279338713.0,147778883.0,740733066.0,837037.0,359572798.0,88000.0,86700.0,3427117596.0
682,20200729,300123.SZ,864846875.0,3264068.0,177159131.0,156400.0,225889205.0,58500.0,95200.0,868110943.0
683,20200729,300124.SZ,434207973.0,100318890.0,79679507.0,1954391.0,34360514.0,125300.0,31500.0,534526863.0
684,20200729,300128.SZ,523778040.0,0.0,13752288.0,0.0,11031261.0,0.0,0.0,523778040.0
685,20200729,300130.SZ,438530166.0,8430.0,34641784.0,600.0,24900803.0,0.0,100.0,438538596.0
686,20200729,300133.SZ,557798867.0,20325503.0,42187064.0,2720951.0,27464703.0,196900.0,77300.0,578124370.0
687,20200729,300134.SZ,349099651.0,9355586.0,10218033.0,660239.0,9901954.0,79600.0,37500.0,358455237.0
688,20200729,300136.SZ,1923371878.0,40325891.0,133208546.0,781661.0,161511882.0,38700.0,187474.0,1963697769.0
689,20200729,300139.SZ,96853419.0,0.0,13124501.0,0.0,12116388.0,0.0,0.0,96853419.0
690,20200729,300142.SZ,3128458028.0,79308788.0,731030996.0,1101817.0,505613620.0,129300.0,107300.0,3207766816.0
691,20200729,300144.SZ,378728327.0,11404199.0,21100232.0,600221.0,34331324.0,14800.0,28100.0,390132526.0
692,20200729,300145.SZ,266839881.0,100572.0,12441778.0,28900.0,18287609.0,0.0,28900.0,266940453.0
693,20200729,300146.SZ,1222064818.0,8223477.0,77159760.0,381777.0,51598369.0,1900.0,0.0,1230288295.0
694,20200729,300147.SZ,413899191.0,119955332.0,17707465.0,11578700.0,27837169.0,0.0,94400.0,533854523.0
695,20200729,300152.SZ,79586375.0,3237.0,2786305.0,1300.0,1659533.0,0.0,0.0,79589612.0
696,20200729,300157.SZ,356001547.0,0.0,12257585.0,0.0,18828996.0,0.0,0.0,356001547.0
697,20200729,300166.SZ,1050252539.0,27490882.0,79048059.0,1989210.0,86073040.0,125100.0,38627.0,1077743421.0
698,20200729,300168.SZ,1470110573.0,118684309.0,74472683.0,4270756.0,133316619.0,586700.0,702100.0,1588794882.0
699,20200729,300170.SZ,1041836580.0,51559.0,36111386.0,5544.0,33578664.0,8900.0,0.0,1041888139.0
700,20200729,300174.SZ,213338584.0,19600.0,4166092.0,1000.0,8498623.0,0.0,1000.0,213358184.0
701,20200729,300177.SZ,428235994.0,472737.0,48252794.0,44472.0,41833301.0,4600.0,2600.0,428708731.0
702,20200729,300180.SZ,355125761.0,13578825.0,11454647.0,1860113.0,18719146.0,111212.0,17200.0,368704586.0
703,20200729,300182.SZ,977844442.0,28196982.0,106581743.0,5886635.0,82113969.0,392900.0,169200.0,1006041424.0
704,20200729,300183.SZ,412734574.0,975672.0,38426956.0,42849.0,53053636.0,5600.0,600.0,413710246.0
705,20200729,300188.SZ,262132433.0,3979442.0,12359556.0,191688.0,20282997.0,14800.0,12100.0,266111875.0
706,20200729,300189.SZ,112149690.0,0.0,8163390.0,0.0,9150393.0,0.0,0.0,112149690.0
707,20200729,300191.SZ,367001842.0,403180.0,18139202.0,19000.0,19457899.0,0.0,4000.0,367405022.0
708,20200729,300194.SZ,394312360.0,787800.0,62495920.0,130000.0,85288813.0,73300.0,130000.0,395100160.0
709,20200729,300197.SZ,208117350.0,5859802.0,5823620.0,2130837.0,7248182.0,89300.0,4100.0,213977152.0
710,20200729,300199.SZ,355204917.0,160590.0,21584205.0,20200.0,25562454.0,0.0,0.0,355365507.0
711,20200729,300202.SZ,507411709.0,1203040.0,129074869.0,82400.0,104787744.0,69000.0,13000.0,508614749.0
712,20200729,300203.SZ,574353089.0,52032.0,19441316.0,3200.0,23154592.0,0.0,0.0,574405121.0
713,20200729,300205.SZ,372154805.0,297385.0,13299766.0,27258.0,10575846.0,14500.0,3300.0,372452190.0
714,20200729,300207.SZ,1399526204.0,84220157.0,154619306.0,3778383.0,141470636.0,355700.0,339698.0,1483746361.0
715,20200729,300212.SZ,1615473249.0,30847503.0,53866007.0,604853.0,26094604.0,45500.0,10800.0,1646320752.0
716,20200729,300222.SZ,245057248.0,146300.0,41506911.0,15400.0,46993271.0,0.0,12400.0,245203548.0
717,20200729,300223.SZ,647148513.0,17506981.0,35738856.0,189757.0,58719156.0,32000.0,39756.0,664655494.0
718,20200729,300226.SZ,831293972.0,3452148.0,21499404.0,44100.0,27937472.0,0.0,0.0,834746120.0
719,20200729,300232.SZ,466810067.0,16800.0,56495868.0,2000.0,25421546.0,0.0,2000.0,466826867.0
720,20200729,300236.SZ,1030828624.0,86569047.0,96561958.0,1388437.0,93885060.0,123300.0,162500.0,1117397671.0
721,20200729,300237.SZ,256958410.0,0.0,24737792.0,0.0,10057515.0,0.0,0.0,256958410.0
722,20200729,300244.SZ,465908127.0,35220043.0,29105182.0,943984.0,33257248.0,70900.0,5200.0,501128170.0
723,20200729,300245.SZ,169166424.0,26312.0,10156755.0,2600.0,7494706.0,0.0,0.0,169192736.0
724,20200729,300251.SZ,412766983.0,74657178.0,59117314.0,5191737.0,37821410.0,678040.0,64700.0,487424161.0
725,20200729,300253.SZ,1138191980.0,94342082.0,81142610.0,4007735.0,76128317.0,162527.0,151744.0,1232534062.0
726,20200729,300256.SZ,589814513.0,532345.0,45566238.0,78171.0,20132604.0,5800.0,66000.0,590346858.0
727,20200729,300257.SZ,328590113.0,6034045.0,7967684.0,376657.0,8027253.0,8000.0,1000.0,334624158.0
728,20200729,300266.SZ,210815235.0,21886.0,7465210.0,6200.0,9976349.0,0.0,0.0,210837121.0
729,20200729,300267.SZ,315071735.0,311350.0,17476028.0,65000.0,13049425.0,0.0,65000.0,315383085.0
